signal_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,signal_energy,power_theta,power_alpha,power_beta,power_gamma,bispectral_index,class
0.5619751750092437,0.4787358847023645,0.6855423654269568,0.4318930479183455,0.13987973934105688,0.37518474570404725,0.36146754060816266,0.3165544545140501,0.5686780000033662,0.3483743842967105,1
0.5894199121075991,0.504783766272296,0.38486689202083463,0.30073507417995227,0.022846751136344014,0.5318155071094066,0.699738533279095,0.4031243849858665,0.29324080963778604,0.1875331600767871,2
0.5490532013827432,0.49353542742008216,0.43244217104145505,0.6085683944329785,0.1506698661271589,0.5826692503469488,0.6769933405844824,0.4776163708604511,0.637996894774034,0.011992344290733592,2
0.5646146510215961,0.602657774397028,0.40183129639206533,0.569886137946847,0.1670329489295763,0.4600051135713049,0.5117912468971123,0.5970333754560164,0.2862954812279543,0.17394575592835992,2
0.36320122972576196,0.4563045518057043,0.3660766432100739,0.5921412743653499,0.26913222981297225,0.45884837934911527,0.7093218588461635,0.23471548463101782,0.11491853208686315,0.8088013923098604,2
0.42352447480298483,0.5840886460550401,0.20532551381897762,0.3890455242412848,0.031120246613008183,0.48059032702530113,0.4665041516336039,0.3973268700461136,0.6907824298162659,0.5462382286871802,1
0.32600347221053905,0.4679411877745496,0.45631323318506484,0.3567811698755555,0.5542282636056945,0.7467309629017771,0.3413206901061697,0.4230227423198087,0.3539724498872519,0.34178947913961,0
0.42205966601855704,0.7909808913495557,0.2817079474690893,0.5241695745658117,0.02054989802114085,0.5377695429929668,0.684645104660262,0.47396623839298163,0.7744020080196643,0.608719165162286,1
0.53230882277845,0.5049244255377734,0.4536444309234415,0.5255890672781777,0.11336062315305842,0.3956439428069841,0.5219090333125207,0.279712768929896,0.5825429304822278,0.7403287878077017,2
0.46458606699214844,0.8759065056476611,0.7490379448421349,0.49725195593578486,0.13219768944623134,0.39714273895537777,0.6270658010163606,0.45254735895871495,0.6188557382074069,0.35457088355461674,1
0.609626278147779,0.5494581646430614,0.3883575345703553,0.4781864664261801,0.06703635608242389,0.5012244305490042,0.8136638419290854,0.4377243085160378,0.6599214703006933,0.46631978485319225,1
0.30733263566249047,0.45659994850328967,0.48510067875096624,0.7463461946887366,0.07957241554085347,0.5731853375208082,0.4244072307490847,0.3217708713754555,0.5098256412376307,0.06409158779744839,2
0.5096491981717222,0.34403017867725993,0.5829093670946981,0.5741092952700204,0.2736121617989262,0.6094236281348887,0.5130105689988745,0.4684252225089483,0.5116561659246774,0.5974549900966898,1
0.2941599388061694,0.2548240146027414,0.4968504113446441,0.7811893888202611,0.12798267387651902,0.5564445928744016,0.7752068515956165,0.40093641856235357,0.6978749344347204,0.35655200158535993,2
0.4596063530388923,0.32892924698611137,0.4985256664117789,0.687115940759916,0.08485063965857573,0.4142089768046916,0.6373134327721407,0.5662698802807482,0.5096131030584856,0.43373889820455347,1
0.5392383840688222,0.3472872025684113,0.40854686782203425,0.7453400755115716,0.016949538979565887,0.475744024901983,0.4278467231785005,0.3460527699321639,0.37452339673955354,0.42280590472567325,1
